﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿"﻿""﻿﻿""""﻿""""""""﻿﻿﻿﻿﻿﻿﻿﻿﻿""""""""""""""""﻿﻿""""""""""""""""""""""""""""""""﻿""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Version""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",
0,
"Double byte support",
0,
"Double byte font",
"�l�r �o�S�V�b�N",
"Not enough coins, please purchase more!", "Pas assez de pièces, veuillez en racheter !"
"TANK LVL-1", "TANK NIVEAU 1"
"TANK LVL-2", "TANK NIVEAU 2"
"APC LVL-1", "APC NIVEAU 1"
"APC LVL-2", "APC NIVEAU 2"
"APC LVL-3", "APC NIVEAU 3"
"HELICOPTER LVL-1", "HÉLICOPTÈRE NIVEAU 1"
"HELICOPTER LVL-2", "HÉLICOPTÈRE NIVEAU 2"
"HELICOPTER LVL-3", "HÉLICOPTÈRE NIVEAU 3"
"PERSON", "PERSONNE"
"Outfit", "Tenue"
"Primary", "Primaire"
"Secondary", "Secondaire"
"Items", "Cosmétiques"
"Head", "Tête"
"Camo", "Camo"
"Flag", "Drapeau"
"Emblem", "Emblème"
"OPEN", "OUVRIR"
"PURCHASE", "ACHETER"
"CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE...", "LE CLIENT EST VIEUX, VEUILLEZ EFFACER VOTRE CACHE DE NAVIGATEUR ..."
"ALL GAME SERVERS FULL, PLEASE REFRESH...", "TOUS LES SERVEURS DE JEUX SONT PLEINS, VEUILLEZ RAFRAÎCHIR ..."
"SELECT SERVER", "SÉLECTIONNER UN SERVEUR"
"Connect", "Relier"
"Refresh", "Rafraîchir"
"Localhost", "Hôte local"
"CONNECTING...", "CONNECTION..."
"PLAY GAME!", "JOUER !"
"QUIT GAME", "QUITTER LE JEU"
"Mouse", "Souris"
"Volume", "Volume"
"Shadows", "Ombres"
"Mute Audio", "Couper le son du jeu"
"Antialiasing", "Anticrénelage"
"Tone Mapping", "Tons sombres"
"Ambient Occlusion", "Occlusion ambiante"
"Reflections", "Reflets"
"PLAYER CUSTOMIZATION", "PERSONNALISATION DU JOUEUR"
"MISSIONS", "MISSIONS"
"SKIP MISSION", "SAUTER LA MISSION"
"Reward", "Récompense"
"SKIP MISSION?", "SAUTER LA MISSION ?"
"Yes", "Oui"
"No", "Non"
"CRATES", "CAISSES"
"POPULAR", "POPULAIRE"
"BEST VALUE", "MEILLEURE VALEUR"
"Redeem Crate Code...", "Utiliser des codes ..."
"Log In", "S'identifier"
"To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account.", "Pour gagner des caisses, accomplir des missions, suivre votre XP et acheter des pièces dans War Brokers, connectez-vous avec Google, Facebook, VK, Twitch ou un compte Steam."
"Use MOUSE1 to control speed", "Utilisez SOURIS1 pour contrôler la vitesse"
"N", "N"
"S", "S"
"E", "E"
"W", "O"
"M - Menu", "M - Menu"
"Press F to Enter Vehicle", "Appuyez sur F pour entrer dans le véhicule"
"MISSILE LOCKED!!!", "MISSILE VERROUILLÉ !!!"
"Press F to Pickup Package", "Appuyez sur F pour ramasser le paquet"
"Switching Team to Balance Server", "Changer d'équipe pour équilibrer le serveur"
"Hold F to Launch Missile", "Maintenez F pour lancer le missile"
"Toggle Fullscreen", "Basculer en plein écran"
"Press Y for team chat...", "Appuyez sur Y pour discuter en équipe ..."
"Leaderboard", "Classement"
"LVL", "NIVEAU"
"XP", "XP"
"Ping", "Ping"
"Our Team :", "Notre équipe :"
" : Enemy Team", " : Équipe ennemie"
"Team Death Match Starts In", "Match à mort en équipe commence dans"
"Death Match Starts In", "Match à mort commence dans"
"Capture Point Starts In", "Capture de zone en équipe commence dans"
"Capture Flags Starts In", "Capture de drapeaux commence dans"
"Package Drop Starts In", "Récupération de colis commence dans"
"Missile Launch Starts In", "Lancement de missiles commence dans"
"Launch missiles!", "Lancez les missiles!"
"Stop missile launch!", "Arrêtez le lancement des missiles!"
"AR Rifle", "AR"
"AK Rifle", "AK"
"Pistol", "Pistolet"
"Hunting Rifle", "Carabine de chasse"
"RPG", "RPG"
"Shotgun", "Fusil à pompe"
"Sniper Rifle", "Fusil de sniper"
"Sub Machine Gun", "Mitraillette"
"Homing Missile", "Missile guidé"
"Package", "Colis"
"Grenade", "Grenade"
"BGM", "MGB"
"Air Strike", "Frappe aérienne"
"Unknown", "Inconnu"
"Team Loss!!!", "L'équipe perd !!!"
"Team Wins!!!", "L'équipe gagne !!!"
"Tie Game!!!", "Match nul !!!"
"Final Results", "Résultats finaux"
"Kills", "Éliminations"
"Deaths", "Morts"
"Damage", "Dégats"
"Longest Kill", "Le plus loin"
"Points", "Points"
"Headshots", "Tirs à tête"
"Kills -", "Éliminations -"
"Deaths -", "Morts -"
"Damage -", "Dégats -"
"Longest -", "Longueur -"
"Points -", "Points -"
"Head Shots -", "Tirs à tête -"
" kills", " éliminations"
"Sign in to keep track of mission progress", "Connectez-vous pour suivre la progression des missions"
"LEVEL", "NIVEAU"
"Earned", "Gagné"
" coins!", " pièces!"
"Team will switch in 5 seconds", "L'équipe changera dans 5 secondes"
"Mission", "Mission"
" Complete", " Achevée"
" XP", " XP"
" Coins", " Pièces"
"Earned a Crate!", "Vous avez gagné une caisse!"
"Kill", "Elimination"
"Cause", "Cause"
" damage", " dégats"
"Deliver", "Livrer"
" packages", " colis"
" package", " colis"
"Launch", "Lancement"
" missiles", " missiles"
" missile", " missile"
"Capture", "Capturer"
" points", " points"
" point", " point"
"Play", "Jouer"
" matches", " matches"
" match", " match"
"Travel", "Voyager"
" meters", " mètres"
"Assist", "Aide"
" players", " joueurs"
" player", " joueur"
"Finish 1 match with", "Terminer 1 match avec"
" kill", " élimination"
" as a", " en tant que"
" with a", " avec un"
" without dying", " sans mourir"
" within", " dans"
" seconds", " secondes"
" dying less than", " mourant moins que"
" times", " fois"
" time", " temps"
" with health less than", " avec la santé inférieure à"
" in less than", " en moins de"
" at a distance greater than", " à une distance supérieure à"
" at a distance less than", " à une distance inférieure à"
"Coins", "Pièces"
"Crate", "Caisse"
"any weapon", "n'importe quelle arme"
"tanks", "tanks"
"tank", "tank"
"APCs", "APCs"
"APC", "APC"
"helicopters", "hélicoptères"
"helicopter", "hélicoptère"
"Tank Lvl-1", "Tank niveau 1"
"Tank Lvl-2", "Tank niveau 2"
"Tank Lvl-3", "Tank niveau 3"
"APC Lvl-1", "APC niveau 1"
"APC Lvl-2", "APC niveau 2"
"APC Lvl-3", "APC niveau 3"
"Helicopter Lvl-1", "Hélicoptère niveau 1"
"Helicopter Lvl-2", "Hélicoptère niveau 2"
"Helicopter Lvl-3", "Hélicoptère niveau 3"
"people", "gens"
"person", "personne"
"TANK LVL-3", "TANK NIVEAU 3"
"QUIT GAME?", "QUITTER LE JEU ?"
"DAILY REWARDS", "RÉCOMPENSES QUOTIDIENNES"
"Missiles Launched", "Missiles lancés"
" until next reward", "  jusqu'à la prochaine récompense"
"killed by", "tué par"
"fragged by", "soufflé par"
"blown up by", "explosé par"
"destroyed by", "détruit par"
"smashed by", "brisé par"
"with", "avec"
"self destructed", "s’est auto-détruit"
"Invert Heli Y", "Inverser l’axe Y d’hélicoptère"
"Press C to Change View", "Appuyez sur C pour changer de point de vue"
"LAUNCH MISSILES", "LANCEZ LES MISSILES"
"FIND GREEN CIRCLES ON MAP", "TROUVEZ LES CERCLES VERTS SUR LA CARTE"
"HOLD F TO RAISE", "TENEZ F POUR ÉLEVER"
"YELLOW = BEING RAISED", "JAUNE = ÉLEVÉ"
"RED = LAUNCHED", "ROUGE = LANCÉ"
"GREEN = LAUNCHER", "VERT = LANCEUR"
"STOP MISSILE LAUNCH", "ARRÊTER LE LANCEMENT DES MISSILES"
"FIND YELLOW CIRCLES ON MAP", "TROUVEZ LES CERCLES JAUNES SUR LA CARTE"
"STOP PEOPLE LAUNCHING MISSILE", "ARRÊTEZ LES JOUEURS LANÇANT LES MISSILES"
"Invert Y Axis", "Inverser l'axe Y"
"Color Blind", "Mode daltonien"
"Press F to Drop Package", "Appuyez sur F pour déposer le colis"
"FIND THE PACKAGE [WHITE STAR ON MAP]", "TROUVER LE PAQUET [ÉTOILE BLANCHE SUR LA CARTE]"
"PICK IT UP", "RAMASSER-LE"
"DROP OFF AT GREEN CIRCLE", "DÉPOSER AU CERCLE VERT"
"Deliver package to green circle on minimap", "Livrer le colis au cercle vert sur la minicarte"
"Get the package, white star on minimap", "Obtenez le colis, étoile blanche sur la minicarte"
